t,qx,qy,qz,qw
8.148,-0.109876,-0.117259,0.437416,0.884785
8.172,-0.111635,-0.115422,0.438080,0.884478
8.192,-0.113057,-0.113829,0.438642,0.884225
8.216,-0.114713,-0.111846,0.439342,0.883917
8.232,-0.115789,-0.110479,0.439814,0.883714
8.248,-0.116844,-0.109076,0.440288,0.883513
8.268,-0.118136,-0.107269,0.440887,0.883264
8.288,-0.119395,-0.105403,0.441498,0.883015
8.304,-0.120382,-0.103867,0.441990,0.882816
8.324,-0.121595,-0.101906,0.442609,0.882568
8.344,-0.122833,-0.099957,0.443245,0.882301
8.368,-0.124349,-0.097639,0.444006,0.881965
8.384,-0.125371,-0.096087,0.444516,0.881734
8.404,-0.126652,-0.094126,0.445155,0.881440
8.424,-0.127934,-0.092131,0.445805,0.881137
8.440,-0.128957,-0.090504,0.446325,0.880894
8.460,-0.130230,-0.088428,0.446975,0.880587
8.484,-0.131747,-0.085869,0.447757,0.880218
8.508,-0.133251,-0.083231,0.448544,0.879844
8.524,-0.134243,-0.081425,0.449066,0.879595
8.540,-0.135224,-0.079579,0.449585,0.879349
8.560,-0.136430,-0.077208,0.450229,0.879045
8.580,-0.137611,-0.074759,0.450864,0.878747
8.608,-0.139218,-0.071198,0.451742,0.878338
8.628,-0.140331,-0.068564,0.452370,0.878048
8.652,-0.141617,-0.065303,0.453111,0.877707
8.672,-0.142676,-0.062536,0.453720,0.877423
8.688,-0.143546,-0.060317,0.454206,0.877185
8.708,-0.144650,-0.057522,0.454809,0.876879
8.724,-0.145539,-0.055264,0.455284,0.876630
8.740,-0.146423,-0.052984,0.455757,0.876378
8.756,-0.147297,-0.050673,0.456216,0.876129
8.776,-0.148371,-0.047741,0.456769,0.875824
8.800,-0.149621,-0.044155,0.457420,0.875460
8.820,-0.150620,-0.041109,0.457952,0.875159
8.840,-0.151577,-0.038012,0.458481,0.874857
8.860,-0.152490,-0.034869,0.459003,0.874556
8.876,-0.153187,-0.032328,0.459416,0.874315
8.896,-0.154018,-0.029115,0.459926,0.874013
8.916,-0.154799,-0.025862,0.460415,0.873720
8.932,-0.155384,-0.023233,0.460805,0.873484
8.952,-0.156072,-0.019920,0.461292,0.873186
8.972,-0.156761,-0.016619,0.461789,0.872869
8.996,-0.157608,-0.012703,0.462381,0.872469
9.016,-0.158315,-0.009454,0.462881,0.872117
9.036,-0.159011,-0.006212,0.463404,0.871742
9.056,-0.159686,-0.002974,0.463957,0.871341
9.076,-0.160343,0.000262,0.464516,0.870928
9.100,-0.161099,0.004144,0.465195,0.870416
9.120,-0.161700,0.007370,0.465779,0.869971
9.144,-0.162381,0.011237,0.466483,0.869425
9.164,-0.162912,0.014455,0.467072,0.868962
9.188,-0.163501,0.018309,0.467813,0.868380
9.204,-0.163867,0.020873,0.468307,0.867987
9.220,-0.164211,0.023433,0.468800,0.867590
9.236,-0.164533,0.025985,0.469294,0.867189
9.252,-0.164834,0.028532,0.469793,0.866781
9.268,-0.165114,0.031074,0.470289,0.866371
9.284,-0.165373,0.033606,0.470785,0.865959
9.304,-0.165706,0.036742,0.471408,0.865428
9.324,-0.166090,0.039823,0.472050,0.864868
9.344,-0.166507,0.042864,0.472690,0.864293
9.368,-0.167038,0.046476,0.473466,0.863579
9.384,-0.167395,0.048865,0.473983,0.863094
9.408,-0.167909,0.052432,0.474754,0.862361
9.428,-0.168306,0.055389,0.475392,0.861747
9.448,-0.168664,0.058330,0.476027,0.861132
9.472,-0.169025,0.061843,0.476788,0.860395
9.488,-0.169221,0.064177,0.477296,0.859904
9.504,-0.169377,0.066502,0.477803,0.859414
9.520,-0.169491,0.068819,0.478311,0.858927
9.540,-0.169572,0.071700,0.478950,0.858319
9.556,-0.169582,0.073992,0.479463,0.857836
9.580,-0.169504,0.077411,0.480236,0.857117
9.600,-0.169347,0.080235,0.480890,0.856521
9.620,-0.169100,0.083032,0.481531,0.855943
9.640,-0.168821,0.085789,0.482179,0.855362
9.656,-0.168614,0.087953,0.482701,0.854888
9.684,-0.168277,0.091661,0.483623,0.854043
9.704,-0.168041,0.094259,0.484289,0.853429
9.724,-0.167799,0.096822,0.484960,0.852809
9.740,-0.167607,0.098848,0.485520,0.852296
9.760,-0.167361,0.101351,0.486226,0.851647
9.776,-0.167153,0.103335,0.486793,0.851125
9.796,-0.166872,0.105797,0.487503,0.850472
9.812,-0.166625,0.107752,0.488064,0.849953
9.832,-0.166287,0.110178,0.488764,0.849305
9.848,-0.165993,0.112104,0.489323,0.848789
9.868,-0.165581,0.114494,0.490003,0.848158
9.884,-0.165222,0.116392,0.490548,0.847654
9.900,-0.164837,0.118280,0.491092,0.847153
9.924,-0.164223,0.121085,0.491905,0.846403
9.948,-0.163677,0.123844,0.492708,0.845643
9.972,-0.163232,0.126555,0.493491,0.844870
9.992,-0.162919,0.128786,0.494131,0.844219
10.008,-0.162700,0.130557,0.494639,0.843692
10.024,-0.162503,0.132320,0.495145,0.843158
10.040,-0.162323,0.134077,0.495654,0.842616
10.056,-0.162157,0.135829,0.496159,0.842070
10.072,-0.161999,0.137578,0.496662,0.841520
10.092,-0.161813,0.139760,0.497285,0.840828
10.112,-0.161633,0.141944,0.497905,0.840129
10.128,-0.161487,0.143695,0.498401,0.839566
10.144,-0.161330,0.145448,0.498891,0.839002
10.164,-0.161110,0.147643,0.499488,0.838306
10.188,-0.160805,0.150285,0.500176,0.837484
10.204,-0.160573,0.152049,0.500628,0.836940
10.220,-0.160314,0.153815,0.501073,0.836401
10.240,-0.159933,0.156019,0.501607,0.835745
10.256,-0.159589,0.157785,0.502031,0.835225
10.272,-0.159245,0.159553,0.502448,0.834704
10.292,-0.158848,0.161765,0.502957,0.834046
10.308,-0.158542,0.163540,0.503369,0.833510
10.332,-0.158076,0.166219,0.503973,0.832703
10.352,-0.157664,0.168468,0.504463,0.832032
10.372,-0.157215,0.170735,0.504946,0.831362
10.392,-0.156716,0.173023,0.505419,0.830695
10.412,-0.156154,0.175330,0.505877,0.830039
10.432,-0.155510,0.177657,0.506320,0.829395
10.452,-0.154769,0.180006,0.506758,0.828759
10.472,-0.153924,0.182377,0.507181,0.828138
10.488,-0.153163,0.184287,0.507503,0.827660
10.508,-0.152102,0.186691,0.507888,0.827080
