t,qx,qy,qz,qw
2.232,-0.20839478075504303,-0.14542526006698608,0.31691375374794006,-0.9137771725654602
2.248,-0.20890510082244873,-0.14412973821163177,0.3200884461402893,-0.9127588272094727
2.264,-0.2093755453824997,-0.14289085566997528,0.32327017188072205,-0.9117239713668823
2.28,-0.20980922877788544,-0.1417001485824585,0.32647061347961426,-0.9106690287590027
2.304,-0.2103891223669052,-0.14000900089740753,0.3312920331954956,-0.9090542197227478
2.328,-0.2108852118253708,-0.13844119012355804,0.33612778782844543,-0.907402753829956
2.344,-0.21116903424263,-0.13746540248394012,0.33935365080833435,-0.9062837362289429
2.364,-0.21147869527339935,-0.1363029032945633,0.3434130549430847,-0.90485680103302
2.38,-0.2116873413324356,-0.13542819023132324,0.34667012095451355,-0.903696596622467
2.4,-0.2119099348783493,-0.1344166398048401,0.35074254870414734,-0.9022229313850403
2.424,-0.2121710479259491,-0.13340383768081665,0.35559168457984924,-0.90041184425354
2.448,-0.2124243527650833,-0.13258573412895203,0.36042189598083496,-0.8985505700111389
2.464,-0.2125847488641739,-0.1321314424276352,0.3636375963687897,-0.8972829580307007
2.48,-0.21273934841156006,-0.13173514604568481,0.3668668866157532,-0.8959891200065613
2.5,-0.21292905509471893,-0.13129867613315582,0.3709651231765747,-0.8943192362785339
2.52,-0.2131081074476242,-0.13094134628772736,0.37506547570228577,-0.8926170468330383
2.54,-0.21327485144138336,-0.13064917922019958,0.3791731894016266,-0.8908829092979431
2.564,-0.21345867216587067,-0.1303800791501999,0.38409775495529175,-0.8887662291526794
2.58,-0.21357014775276184,-0.13024497032165527,0.38737955689430237,-0.8873336911201477
2.596,-0.21367360651493073,-0.13013856112957,0.39066287875175476,-0.8858837485313416
2.616,-0.21380525827407837,-0.13000750541687012,0.3948371410369873,-0.8840186595916748
2.636,-0.21392850577831268,-0.12991215288639069,0.3990054130554199,-0.8821293711662292
2.652,-0.21402046084403992,-0.12985722720623016,0.40234145522117615,-0.8805986046791077
2.668,-0.21410703659057617,-0.12981998920440674,0.40568113327026367,-0.8790494203567505
2.688,-0.2142096608877182,-0.12980420887470245,0.40984103083610535,-0.8770949840545654
2.704,-0.21428722143173218,-0.12982876598834991,0.4131161570549011,-0.8755344748497009
2.724,-0.2143760323524475,-0.1298864185810089,0.4172077476978302,-0.8735617399215698
2.74,-0.2144629806280136,-0.12995673716068268,0.4205080568790436,-0.8719460368156433
2.768,-0.214682936668396,-0.13022102415561676,0.4262581765651703,-0.8690556287765503
2.788,-0.2148786336183548,-0.13048596680164337,0.43035760521888733,-0.8669446706771851
2.808,-0.21509583294391632,-0.13078925013542175,0.4344593286514282,-0.8647965788841248
2.824,-0.2152794599533081,-0.1310485154390335,0.43774306774139404,-0.8630539774894714
2.844,-0.2155127376317978,-0.13137295842170715,0.4418978691101074,-0.8608262538909912
2.864,-0.21574550867080688,-0.1316765397787094,0.4461047053337097,-0.8585487008094788
2.884,-0.21597300469875336,-0.13195474445819855,0.45034241676330566,-0.8562332391738892
2.908,-0.21623240411281586,-0.1322571337223053,0.4554315209388733,-0.8534247875213623
2.928,-0.2164386808872223,-0.1324823945760727,0.459665983915329,-0.8510639071464539
2.948,-0.21663206815719604,-0.13267503678798676,0.46390020847320557,-0.8486839532852173
2.964,-0.21677741408348083,-0.13280527293682098,0.4672830402851105,-0.8467684984207153
2.992,-0.21702060103416443,-0.13294658064842224,0.47326570749282837,-0.8433545231819153
3.016,-0.21721509099006653,-0.1329939216375351,0.47840559482574463,-0.8403918147087097
3.036,-0.21738587319850922,-0.13301947712898254,0.48267310857772827,-0.8378996849060059
3.056,-0.2176053524017334,-0.1330946534872055,0.48690685629844666,-0.8353774547576904
